player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-w,p-l,p-s
bauel001,200205012saint-marys-mn,3,True,dh,4,0,1,1,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,
bauel001,200205011saint-marys-mn,3,True,ss,3,0,1,0,0,0,,,,,,,,,1,4,1,,,,,,,,,,,,,,
bauel001,200204141carleton,3,True,ss,3,1,2,0,0,0,1,,,,,,,,1,1,2,,,,,,,,,,,,,,
bauel001,200205041macalester,3,True,ss,3,0,0,0,0,0,,,,,,,,,0,2,,,,,,,,,,,,,,,
bauel001,200205042macalester,3,True,ss,2,1,1,1,0,0,,,,,,1,,,1,7,,,,,,,,,,,,,,,
bauel001,200203280cornell-college,3,True,ss,3,0,2,0,0,0,,,,,,,,,2,2,1,,,,,,,,,,,,,,
bauel001,200205021st-benedict,3,True,ss,1,0,0,0,0,0,,,,,,1,,,1,3,,,,,,,,,,,,,,,
bauel001,200205022st-benedict,3,True,ss,2,0,0,0,0,1,,,,,,,,,2,2,1,,,,,,,,,,,,,,
bauel001,200205031macalester,3,True,ss,3,0,0,0,0,0,,,,,,,,,3,5,,,,,,,,,,,,,,,
bauel001,200205032macalester,3,True,ss,4,1,3,1,0,0,,,,,,,,,3,3,,,,,,,,,,,,,,,
bauel001,200203271macalester,1,True,ss,3,0,1,0,0,0,,,,1,,,,,2,1,,,,,,,,,,,,,,,
bauel001,200203232dana,3,True,ss,4,3,3,2,0,0,,,1,2,,,,,0,3,,,,,,,,,,,,,,,
bauel001,200203151macalester,3,True,ss,2,2,2,1,0,0,,,,1,,1,,,3,0,,,,,,,,,,,,,,,
bauel001,200203152macalester,3,True,dh,4,1,3,1,0,0,1,,,1,,,,,0,0,,,,,,,,,,,,,,,
bauel001,200203051northwestern-stpaul,3,True,ss,2,2,1,0,0,0,,,,1,,1,,,0,2,,,,,,,,,,,,,,,
bauel001,200203052northwestern-stpaul,3,True,dh,3,2,2,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,
bauel001,200203250macalester,1,True,ss,5,2,2,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,
bauel001,200204131macalester,3,True,ss,3,0,2,0,0,0,,,,,,,,,2,5,1,,,,,,,,,,,,,,
bauel001,200204132macalester,3,True,ss,2,0,2,0,0,0,,,,,1,1,,,2,5,,,,,,,,,,,,,,,
bauel001,200203250pacific-or,1,True,ss,4,0,0,0,0,0,,,,,,,,,1,2,3,,,,,,,,,,,,,,
bauel001,200203230pacific-or,3,True,ss,3,0,0,0,0,1,,,,,,,,,3,1,,,,,,,,,,,,,,,
bauel001,200203230macalester,3,True,ss,3,0,0,0,0,1,,,,,,,,,4,1,,,,,,,,,,,,,,,
bauel001,200203240simon-fraser,1,True,ss,2,0,0,0,0,1,,,,,,,,,1,3,2,,,,,,,,,,,,,,
bauel001,200204231macalester,3,True,ss,3,0,0,0,0,0,,,,,,,,,1,1,2,,,,,,,,,,,,,,
bauel001,200204232macalester,3,True,ss,3,0,0,0,0,1,,,,,,,,,1,5,2,,,,,,,,,,,,,,
bauel001,200203111wis-river-falls,3,True,ss,3,0,0,0,0,1,,,,,,,,,0,1,2,,,,,,,,,,,,,,
bauel001,200203112macalester,3,True,ss,3,0,1,1,0,0,,,,,,,,,3,1,,,,,,,,,,,,,,,
